alpha,steering_coeff,prompt,dominance_scorsese,dominance_spielberg,dominant_director
0.0,0.5,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.0,0.5,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.0,0.5,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.0,0.5,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.0,0.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.0,1.0,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.0,1.0,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.0,1.0,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.0,1.0,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.0,1.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.0,1.5,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.0,1.5,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.0,1.5,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.0,1.5,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.0,1.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.0,2.0,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.0,2.0,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.0,2.0,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.0,2.0,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.0,2.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.25,0.5,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.25,0.5,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.25,0.5,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.25,0.5,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.25,0.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.25,1.0,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.25,1.0,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.25,1.0,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.25,1.0,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.25,1.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.25,1.5,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.25,1.5,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.25,1.5,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.25,1.5,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.25,1.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.25,2.0,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.25,2.0,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.25,2.0,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.25,2.0,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.25,2.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.5,0.5,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.5,0.5,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.5,0.5,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.5,0.5,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.5,0.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.5,1.0,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
